n,lf model,hf iter,lf iter,mf iter,mf score,mf mass,mf EI,hf score,hf mass,hf EI,lf score,lf mass,lf EI,hf time,lf time,mf time,total time,sparse,mf equiv score,mf equiv EI,hf equiv score,hf equiv EI,lf equiv score,lf equiv EI
1,unit,20,200,100,89.45025677178184,0.03622696357298417,110602.30388151642,2.7653382799403396,0.06251846402882434,2700644.508012152,2.3697020091582646,0.10333666741837759,3061506.8903080276,8.059400081634521,126.82315325737,13.828673839569092,148.7112319469452,True,1253.8149484242392,7969.331334984698,424.86905622212754,23481.82700729887,157.46017934774906,63112.482078219815
2,unit,20,200,100,6.417453486500021,0.42609179958324933,1430336.5278202412,1.482407971328062,1.121524262244901,7348166.440126678,9.339765588631021,1.2036421404604951,1094556.138249474,9.783277750015259,115.01417517662048,16.234320163726807,141.0317759513855,True,9.939953260026927,951125.334647315,2.0089249461032623,5298292.029627367,1.8800777912396471,5965036.591385022
3,unit,20,200,100,3.658308543941618,0.7411380430470111,2552863.0928156413,2.4494308057090013,1.2632677942594046,4574224.31338696,1.6145353413054622,1.336615972581585,7825219.841519375,9.924440860748291,119.43258023262024,22.05074167251587,151.40776777267456,True,3.6005540492014543,2591065.587138943,1.8100747404160877,6464930.88542612,1.7456502999066277,7097059.1745513575
4,unit,20,200,100,4.528480683121271,0.9345281764262576,2176774.789340217,3.320567913996629,1.0993755949357378,3104440.533036974,4.590705786880083,1.9927862713200741,2779384.0181117896,15.796026706695557,152.77981209754944,110.69622802734375,279.2720699310303,True,2.5099254875163037,3882896.0319786393,2.051370393320317,5122964.471153175,1.9927862713200752,13449057.831359515
5,unit,20,200,100,2.781779199206973,1.2772041661915343,3992693.3184989383,2.7950559932399504,1.1568182034874988,3790408.9005329236,2.1702972548719335,1.762441463673665,7103000.223828819,19.94810390472412,167.53769207000732,85.40388989448547,272.88968873023987,True,1.7961285010238153,6583606.418488382,1.9483926452957232,5581682.662266082,1.762441463673666,11092831.14024896
1,unit,20,200,100,14.256946081625316,0.374292216304705,671923.172472746,3.272341960305436,0.35181514287710086,2550677.6169840074,3.0220084048148275,0.3812284609848706,2746664.2187334164,6.822983026504517,96.15646409988403,15.375613927841187,118.35506200790405,True,12.751483262264275,747541.0918213946,14.371005446351882,665814.8540595053,12.308101759482247,773582.2707539343
2,unit,20,200,100,12.422255732347484,0.4768678455020873,772475.8877377182,2.0105466676752486,1.0389546664991132,5072043.300051223,1.5273073675240034,1.1645730912650794,7338187.770144535,10.468712091445923,107.88180804252625,31.572302103042603,149.92282390594482,True,8.020716973584717,1170432.6527877434,2.1872461852011673,4654861.741502266,1.9361784437217482,5644597.983480403
3,unit,20,200,100,18.507768494046864,0.644878200424001,530141.4493928739,1.9003243446829488,0.9571254758058226,5146153.674831275,3.9628158403733926,1.1724181258053,2638245.575541003,10.3106529712677,125.11056613922119,84.71182370185852,220.13304495811462,True,4.58752590875991,2023207.112887032,2.4288249285067334,4045799.334167695,1.9241982734126193,5708478.8942599725
4,unit,20,200,100,3.6235417638517164,1.0156160924336353,2771675.7247023713,2.006699323194949,1.4281522331604748,6334939.3015457075,2.0761018737002805,1.788925319786034,7768942.0068990905,12.212521076202393,148.9053680896759,217.19407415390015,378.3119649887085,True,2.2486756444516547,4478160.911993139,1.6922114560441668,7911021.74563235,1.7889253197860364,11357496.812950851
5,unit,20,200,100,3.1778719757291247,1.3638345393271252,3553612.9941419335,2.213706749408277,1.3199489373449276,5280506.269756042,4.846333374437876,2.3664040869744487,2873621.6095037814,18.13929295539856,132.46944403648376,223.49932169914246,374.1080629825592,True,1.726927176175914,7336258.541545713,1.7584242117794586,6951805.274463982,2.3664040869744443,17501762.496519834
1,unit,20,200,100,40.38976741004449,0.2897550250274635,243308.9291147146,2.175783420929332,0.6404314138918678,3944225.48515656,3.325632368526223,0.6663482951208054,2732774.9907904146,9.026033878326416,101.11413311958313,15.807008028030396,125.94717788696289,True,20.935175355248987,461991.49046035914,4.64469483898321,1998296.082868074,4.327995012971485,2145164.7036458924
2,unit,20,200,100,4.4363624947186775,0.5265036136962669,2036718.4154013072,1.5069931072936558,0.8159484256755797,5913504.302223109,2.103719878399808,1.0583719503710904,4889143.7309826715,10.332916975021362,97.3438789844513,51.04627990722656,158.72307896614075,True,6.655414392886732,1402738.8348287852,3.0752622927462827,3068130.4126710147,2.1401266090889264,4803640.024593034
4,unit,20,200,100,3.316863384654477,1.0414626380108774,3053061.525447626,2.8537067798869202,1.287008111000726,3896055.318538599,2.7712652257437975,1.6083244611861252,4623335.120342525,14.166308164596558,139.8303189277649,211.88099718093872,365.8776261806488,True,2.1809629132385604,4673988.648557574,1.786820730642291,6667499.572306487,1.6513202700313119,9587766.235678451
5,unit,20,200,100,4.816623565776952,1.0888940652177705,2115180.2358441255,2.3240153512308606,0.9679655551179991,4244392.46424186,3.0705267476627953,2.5903410600765207,6755909.129419371,16.443859815597534,2075.744542121887,280.6649332046509,2372.8533380031586,True,2.072752655326461,5040681.8559845695,2.392340503203092,4124774.5147253536,2.59034106007652,20046446.489433106
1,unit,20,200,100,5.510580491253231,0.3189396058608569,1615080.7492069665,2.1004890538770797,0.6296221305472057,4047162.518377744,13.87350887237995,0.8353369887841287,712343.4648699102,6.337738037109375,87.0489649772644,12.368730783462524,105.75543570518494,True,17.376976350036827,553770.0549438285,4.788924814682043,1938246.4282916747,2.9636833964552554,3196576.9441257073
2,unit,20,200,100,14.4967204814192,0.6221596803301165,672288.7575455554,1.389251687497031,0.8542969382652871,6514850.033856095,3.3433141764819707,0.9414487799277119,2939563.690594277,8.136828184127808,129.57246112823486,17.622969150543213,155.33226013183594,True,4.893058214245157,1897209.732962237,2.8626915592931406,3324032.003681546,2.4843369367324555,3932536.3064986174
3,unit,20,200,100,5.976412859349508,0.6193248196669366,1573047.2722066203,1.4988763912431546,0.946567163125572,6442015.4302159,1.9620054373464888,1.8356253920337482,8877998.186858406,9.185832977294922,100.847815990448,710.2784330844879,820.3120849132538,True,4.933636829903409,1881711.1190946102,2.465844615139752,3969392.093754869,1.8356253920337486,11828282.29175716
4,unit,20,200,100,5.017893391779672,0.8381148250402429,1930584.4586122548,2.14488966864047,1.3732357800415538,5644443.344353416,4.148775401049037,1.8004759206553291,2986590.673431683,15.041293144226074,179.15574193000793,209.53326511383057,403.7303032875061,True,2.948402200810036,3215136.9927754705,1.7210458830999973,7419442.8260391075,1.8004759206553316,11473457.286283622
5,unit,20,200,100,2.307518278136442,1.3322843101249346,5062691.388436949,2.3938707430745456,1.0475997663721197,4262082.299655998,2.037773083684165,1.6712873091742273,7318041.787581945,13.782598972320557,140.4660999774933,310.0155870914459,464.2642889022827,True,1.7488716355964449,7059218.884844608,2.165837457628051,4720905.515599091,1.6712873091742282,10195207.778343732
1,unit,20,200,100,22.323380219183726,0.4005688127922418,436246.6637583441,2.1198118869393427,0.42312503683072383,3708254.074660992,1.5466514029099883,0.6495877414077009,5271304.386317213,7.572314023971558,139.29774594306946,21.082812786102295,167.95287585258484,True,11.190198082854089,848203.0919660581,10.073821968679928,938905.6945275196,4.528300228800876,2049721.115118072
2,unit,20,200,100,46.9728399434024,0.47266621306779855,210525.54579634708,2.2483199007529526,0.6870111696004937,3904254.0551136555,3.0220023272025163,1.0340470533406465,3346770.310612852,14.817474126815796,149.3654317855835,32.07645297050476,196.25936198234558,True,8.156473915254805,1151568.5679545288,4.101771238581833,2265128.7598302923,2.199715730249905,4617511.49038713
3,unit,20,200,100,3.065913133830063,0.6975609955738875,2968810.7387658954,1.653135887023646,0.7630301376680607,5290709.265028907,1.7834314025589113,1.2455277268854281,6502357.825252463,10.95928406715393,142.94488716125488,19.78657102584839,173.69074511528015,True,3.994306979567045,2327342.6069992045,3.429318115049332,2727554.4260826795,1.829094271289586,6314859.350456065
4,unit,20,200,100,2.6290250372245905,0.8823098993718264,3640712.4503698875,1.9541343086696517,1.631608924481538,7561291.540834135,2.036404582295437,1.9572922659774927,9266875.976470321,12.30435585975647,138.9196059703827,161.50236225128174,312.7263262271881,True,2.72675621831682,3515622.683190241,1.6508551777715625,9811171.704307005,1.9572922659774916,13078282.980986565
1,unit,20,200,100,20.06418522631936,0.3005395174471909,481610.99164425954,2.0420994964561388,0.6013221897224046,4097055.4636064167,1.2293136144306138,0.815275155402446,7071943.437007182,6.742717742919922,144.9575867652893,18.303281784057617,170.00358867645264,True,19.500595525984014,495048.13233061635,5.205250996079613,1784462.355884286,3.0792971665783595,3063704.8297346947
2,unit,20,200,100,12.099593545372608,0.5332591762678095,795777.0107236436,1.8589693425614704,0.9426258326174267,5218271.123162044,1.7215700162043193,1.5154312278256377,8290919.83140864,13.231655836105347,135.91771697998047,95.50212812423706,244.6515040397644,True,6.498614553389956,1435676.9265277127,2.4800521285287633,3941001.169615615,1.6633449736590955,8711455.922796158
3,unit,20,200,100,5.217641490759841,0.6228969520989495,1787391.7085754038,2.6214463634985807,0.8099804585447558,3556863.3368023145,1.8464689797712475,1.1288816691203507,5822120.330063688,11.403248310089111,181.46172904968262,17.43112301826477,210.29610323905945,True,4.88259812577904,1901248.6964165748,3.111418282407684,3028983.2895593517,1.9956102858211526,5356965.072766548
4,unit,20,200,100,3.213947933548898,0.8492452636746357,2972030.8095971216,2.2886889090701135,0.8343969209192791,4074494.8230607295,1.90125169075975,1.7184858540336663,8454758.91295624,12.847256183624268,128.98301911354065,199.52308678627014,341.3533639907837,True,2.888854854312216,3289896.1862738514,2.9688936825646115,3190304.7794986046,1.7184858540336674,10657366.95821782
5,unit,20,200,100,8.47753655612276,1.0754739301963367,1190183.9399700246,1.8841900168897234,1.3780844909154564,6639640.999611377,2.6190234250703153,1.7446733728451524,5335182.714738023,17.565359830856323,123.60585594177246,98.92865991592407,240.09987878799438,True,2.1014121973681976,4935984.556903428,1.7181256135808578,7462457.555115597,1.744673372845152,10916226.678454535
1,unit,20,200,100,5.219550221674654,0.47788786896873,1741655.8804241098,2.8830626144966267,0.8448206723140809,3291377.1155487434,5.718946051773257,0.7978786882021061,1688884.6868259134,9.48866605758667,4864.025179862976,15.61058497428894,4889.124433040619,True,7.988298608800524,1175031.4180720316,2.9122084451153616,3260102.9738302487,3.1875126860304404,2950171.0233042217
2,unit,20,200,100,45.56018081668731,0.3846483049885901,216564.90907747447,3.110556364438641,0.6771957510118516,2912598.2167131403,5.103917815695139,0.7043350978919974,1851994.9638013083,9.883812665939331,101.32401394844055,18.953896045684814,130.16172575950623,True,12.098196451475383,786562.4831698425,4.206532189616831,2207828.924953954,3.9279682692034394,2367629.8566655573
3,unit,20,200,100,3.8506395900358266,0.6972823622548162,2407690.803264385,1.4277170289197074,1.054100940121513,7280054.508351901,6.297216811281658,1.3899610461302776,1692833.4234303697,11.865782022476196,105.65213418006897,62.30622982978821,179.82414889335632,True,3.997079396816773,2325691.170913316,2.150194797160391,4770778.7351311,1.7112897589417972,7568139.481902307
